cord_uid,title,abstract,publish_time,authors,journal,source_x
abc123,Study of SARS-CoV-2 Transmission,Investigation of viral spread in urban settings,2020-05-12,Smith J;Lee K,Virology,PMC
def456,Antiviral Drug Efficacy,Analysis of drug effects on coronaviruses,2019-11-30,Chen L;Patel R,J Med Chem,Elsevier
ghi789,COVID-19 Immune Response,Study of immune system activation in patients,2020-07-01,Wong A;Kim S,Immunology,PMC
jkl012,Vaccine Development Progress,Overview of mRNA vaccine trials,2021-03-15,Jones M;Garcia T,J Virol,PMC
mno345,Epidemiology of COVID-19,Case study of outbreak patterns,2020-09-10,Brown P;Taylor E,Lancet,Elsevier
pqr678,Mask Effectiveness,Impact of mask-wearing on transmission,2020-06-22,Li H;Davis C,Public Health,PMC
stu901,Genetic Mutations in SARS-CoV-2,Analysis of viral genome changes,2021-01-05,Zhang Y;Wilson B,J Clin Virol,Elsevier
vwx234,Clinical Outcomes of COVID-19,Patient recovery data from hospitals,2020-12-18,Martin D;Nguyen V,BMJ,PMC
yza567,Lockdown Effects on Spread,Modeling social distancing impacts,2020-04-30,Clark S;Adams R,Epidemiology,PMC
bcd890,Antibody Testing Accuracy,Evaluation of serology test performance,2020-08-25,Moore J;Lee M,J Clin Microbiol,Elsevier
efg123,Viral Load Dynamics,Study of viral load in infected patients,2019-12-10,Kumar P;Chen H,J Infect Dis,PMC
hij456,Therapeutics for COVID-19,Review of treatment options,2020-10-15,Patel S;Wong K,Clin Ther,Elsevier
klm789,Respiratory Symptoms Analysis,Data on COVID-19 respiratory effects,2020-03-20,Taylor J;Smith L,Respir Med,PMC
nop012,Hospitalization Trends,Analysis of hospital admission rates,2021-02-28,Garcia M;Brown C,Am J Public Health,PMC
qrs345,PCR Testing Sensitivity,Study of PCR test reliability,2020-07-10,Davis T;Li Y,J Clin Lab Anal,Elsevier
tuv678,Ventilator Use Outcomes,Impact of ventilators on patient recovery,2020-11-05,Wilson E;Zhang R,Crit Care Med,PMC
